article_name,country,revision_id,population,article_quality_est
Nicolae Grosu,Moldova,788880260,3535000,Stub
Nicolae Secară,Moldova,788880283,3535000,Stub
Nicolae Soltuz,Moldova,788880289,3535000,Stub
Pantelimon V. Sinadino,Moldova,788880315,3535000,Stub
Pavel Cocârlă,Moldova,788880324,3535000,Stub
Petru Picior-Mare,Moldova,788880363,3535000,Stub
Serghei Donico-Iordăchescu,Moldova,788880392,3535000,Stub
Simion Galețchi,Moldova,788880487,3535000,Stub
Teodor Cojocaru,Moldova,788880544,3535000,Stub
Teodor Suruceanu,Moldova,788880559,3535000,Stub
Teodor Uncu,Moldova,788880569,3535000,Stub
Teofil Ioncu,Moldova,788880580,3535000,Stub
Vasile Bârcă,Moldova,788880634,3535000,Stub
Vasile Ciorăscu,Moldova,788880645,3535000,Stub
Vasile Gafencu,Moldova,788880649,3535000,Stub
Vasile Ghenzul,Moldova,788880653,3535000,Stub
Vasile Mândrescu,Moldova,788880667,3535000,Stub
Vasile Țanțu,Moldova,788880715,3535000,Stub
Victor Berlinschi,Moldova,788880720,3535000,Stub
Vitalie Zubac,Moldova,788880730,3535000,Stub
Vladimir Bodescu,Moldova,788880746,3535000,Stub
Vladimir Cazacliu,Moldova,788880754,3535000,Stub
Vladimir Chiorescu,Moldova,788880758,3535000,Stub
Vladimir Cristi,Moldova,788880765,3535000,Stub
Vladimir Hertza,Moldova,788880773,3535000,Stub
Zamfir Munteanu,Moldova,788880797,3535000,Stub
Ștefan Balmez,Moldova,788880802,3535000,Stub
Ștefan Botnarciuc,Moldova,788880836,3535000,Stub
Alexander Loesch,Moldova,788880974,3535000,Stub
Anatol Chiriac,Moldova,788989755,3535000,Stub
Anatol Petrencu,Moldova,788990113,3535000,Start
Andrei Eșanu,Moldova,789069793,3535000,Start
Andrei Ivanțoc,Moldova,789070292,3535000,Start
Angel Agache,Moldova,789304430,3535000,Stub
Ion Apostol,Moldova,789304447,3535000,Stub
Iurie Apostolachi,Moldova,789304534,3535000,Stub
Anatol Arhire,Moldova,789304545,3535000,Stub
Octavian Armașu,Moldova,789304551,3535000,Stub
Gheorghe Arpentin,Moldova,789304553,3535000,Stub
Alexandru Arseni,Moldova,789304557,3535000,Stub
Aurel Băieșu,Moldova,789304562,3535000,Stub
Vasile Balan,Moldova,789304575,3535000,Stub
Ivan Banari,Moldova,789304581,3535000,Stub
